Lobby ID,Game ID,Room Name,Map,Region,Members,Time,Leader Name,Leader ID,Has Password
29617193190981899,3586896069,,zudui_team_map,US East,22,15m,fjomeot22,1750254181,Yes
29617193191496222,3586896069,,zudui_team_map,Singapore,22,14m,hslviwz45,1749062247,Yes
29617193192010307,3586896069,,zudui_team_map,US East,22,14m,hsxdubt43,1750236769,Yes
29617193192527820,3586896069,,zudui_team_map,US West,22,13m,stnkwxg15,1749287646,Yes
29617193193044891,3586896069,,zudui_team_map,Japan,22,13m,mindcqc69,1749089439,Yes
29617193193563053,3586896069,,zudui_team_map,Chile,22,12m,xtjhexm41,1748953107,Yes
29617193193609008,3586896069,,zudui_team_map,US West,21,12m,lexsbzo18,1749772463,Yes
29617193194127978,3586896069,,zudui_team_map,Chile,20,12m,ppidhbh35,1750249740,Yes
29617193194652532,3586896069,,zudui_team_map,Chile,22,11m,cfpwdsp06,1749858151,Yes
29617193195164114,3586896069,,zudui_team_map,Singapore,22,11m,ilaedzu34,1749279204,Yes
29617193195676910,3586896069,,zudui_team_map,Australia,21,10m,teeraku23,1749185634,Yes
29617193196192681,3586896069,,zudui_team_map,US West,22,9m,semikyu89,1750232525,Yes
29617193196708418,3586896069,,zudui_team_map,Singapore,22,9m,apvlsik22,1750247544,Yes
29617193197223494,3586896069,,zudui_team_map,US West,21,8m,yknbdcy,1750709928,Yes
29617193197668203,3586896069,,zudui_team_map,US West,1,8m,oneday,125131260,
29617193197733239,3586896069,,zudui_team_map,Japan,22,8m,xstdiua55,1750529224,Yes
29617193198243180,3586896069,,zudui_team_map,Singapore,22,7m,yemrcmo,1749877887,Yes
29617193198287973,3586896069,,zudui_team_map,Australia,22,7m,uwygiuz79,1749486043,Yes
29617193198798343,3586896069,,zudui_team_map,Japan,22,7m,iwccykm31,1749084114,Yes
29617193199319857,3586896069,,zudui_team_map,Japan,22,6m,spwkjru,1749833726,Yes
29617193199836359,3586896069,,zudui_team_map,US West,22,6m,iayxkhg,1748786988,Yes
29617193200355721,3586896069,,zudui_team_map,US East,21,5m,cfwqkmt,1749247359,Yes
29617193200866613,3586896069,,zudui_team_map,Australia,22,4m,lipkngt,1749871512,Yes
29617193201398891,3586896069,,zudui_team_map,US West,22,4m,ngpbmxr,1749605096,Yes
29617193201915831,3586896069,,zudui_team_map,US East,22,3m,nggkwyz,1749269844,Yes
29617193202429418,3586896069,,zudui_team_map,Australia,22,3m,qvypsll,1749873051,Yes
29617193202935966,3586896069,,zudui_team_map,Singapore,22,2m,ezoubrf,1749607458,Yes
29617193202981469,3586896069,,zudui_team_map,Japan,22,2m,kcmxhgh,1749050910,Yes
29617193203485624,3586896069,,zudui_team_map,Japan,22,2m,vvbetts,1749609182,Yes
29617193203998210,3586896069,,zudui_team_map,Australia,22,1m,chspgcy,1749790322,Yes
29617193204506266,3586896069,,zudui_team_map,Japan,21,1m,juudtrn,1750100172,Yes
29617193205015041,3586896069,,zudui_team_map,Japan,22,0m,llxjrfa,1749609197,Yes
